session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-dc96ad3e,react,SUCCESS,2,500,2.0,2.0,358.33,1779332941.402804,1779332941.761661
sess-0016-8e3437df,react,SUCCESS,1,500,1.0,1.0,488.03,1779332941.616643,1779332942.104670
sess-0002-c4a91114,plan_and_solve,SUCCESS,3,500,3.0,3.0,1042.51,1779332941.334136,1779332942.376649
sess-0001-2ae44fa9,react,SUCCESS,6,500,10.0,10.0,1178.32,1779332941.276930,1779332942.455248
sess-0020-3e5421a9,react,SUCCESS,2,500,2.0,2.0,798.46,1779332941.762223,1779332942.560680
sess-0011-8dffe315,plan_and_solve,SUCCESS,3,500,7.0,7.0,1809.18,1779332941.501612,1779332943.311345
sess-0009-a3496666,plan_and_solve,SUCCESS,5,500,9.0,9.0,1852.03,1779332941.485286,1779332943.337878
sess-0012-6d4ef02b,react,SUCCESS,4,500,4.0,4.0,2413.50,1779332941.563568,1779332943.978166
sess-0019-fd517521,react,SUCCESS,2,500,6.0,6.0,2429.33,1779332941.624660,1779332944.053985
sess-0023-7313d5bf,react,CASCADE_FAILED,6,500,5.0,0.0,2309.99,1779332942.455834,1779332944.765829
sess-0015-b1435991,react,CASCADE_FAILED,6,500,7.0,0.0,3466.93,1779332941.614063,1779332945.081541
sess-0003-57cde4ff,react,SUCCESS,4,500,12.0,12.0,3888.90,1779332941.365158,1779332945.255183
sess-0010-f9e9b877,react,SUCCESS,5,500,9.0,9.0,4004.35,1779332941.499184,1779332945.504688
sess-0005-02e846f1,plan_and_solve,SUCCESS,6,500,14.0,14.0,4181.85,1779332941.397204,1779332945.579732
sess-0000-97e3fe09,plan_and_solve,SUCCESS,5,500,17.0,17.0,4832.28,1779332941.275931,1779332946.108766
sess-0008-bd080ca0,react,SUCCESS,5,500,13.0,13.0,4949.71,1779332941.440835,1779332946.391129
sess-0024-d8f821bf,plan_and_solve,SUCCESS,3,500,11.0,11.0,4266.66,1779332942.560680,1779332946.827342
sess-0029-a7cd5948,react,CASCADE_FAILED,3,500,1.0,0.0,2156.73,1779332944.765829,1779332946.923126
sess-0031-5635bd42,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1817.54,1779332945.255183,1779332947.073301
sess-0022-384ca822,plan_and_solve,CASCADE_FAILED,5,500,8.0,0.0,5013.90,1779332942.377206,1779332947.391105
sess-0035-53f6cafb,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1014.61,1779332946.391129,1779332947.405740
sess-0006-7477dcaf,plan_and_solve,SUCCESS,6,500,14.0,14.0,6007.03,1779332941.400173,1779332947.408035
sess-0033-408429a9,react,CASCADE_FAILED,7,500,1.0,0.0,1902.38,1779332945.579732,1779332947.482117
sess-0013-b0707e7c,plan_and_solve,SUCCESS,5,500,17.0,17.0,6068.52,1779332941.606284,1779332947.675982
sess-0028-832adfa3,react,SUCCESS,3,500,7.0,7.0,3789.49,1779332944.053985,1779332947.844472
sess-0032-b2640f7b,react,CASCADE_FAILED,6,500,2.0,0.0,3094.26,1779332945.504688,1779332948.598943
sess-0043-b0d608f6,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1013.87,1779332947.675982,1779332948.689854
sess-0017-dc63e4dc,react,CASCADE_FAILED,7,500,13.0,0.0,7113.66,1779332941.619848,1779332948.734063
sess-0027-b567b202,plan_and_solve,CASCADE_FAILED,5,500,7.0,0.0,4802.61,1779332943.978166,1779332948.780777
sess-0018-80a460e0,react,SUCCESS,6,500,18.0,18.0,7219.82,1779332941.622306,1779332948.843273
sess-0004-70b8168f,react,SUCCESS,7,500,19.0,19.0,7563.57,1779332941.395439,1779332948.960548
sess-0034-488f0663,react,CASCADE_FAILED,7,500,5.0,0.0,2867.73,1779332946.108766,1779332948.976493
sess-0025-b8eb19ef,plan_and_solve,CASCADE_FAILED,6,500,8.0,0.0,5830.60,1779332943.312474,1779332949.143073
sess-0021-df8867fd,plan_and_solve,CASCADE_FAILED,7,500,13.0,0.0,7038.52,1779332942.104670,1779332949.144304
sess-0014-f5af5180,plan_and_solve,SUCCESS,6,500,18.0,18.0,7730.14,1779332941.610233,1779332949.340369
sess-0026-665089b0,react,SUCCESS,7,500,7.0,7.0,6930.75,1779332943.337878,1779332950.270373
sess-0037-88739985,plan_and_solve,SUCCESS,3,500,7.0,7.0,3818.98,1779332946.923126,1779332950.742109
sess-0039-3e94f9a3,react,CASCADE_FAILED,6,500,6.0,0.0,3816.44,1779332947.391105,1779332951.207545
sess-0055-96b8748f,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1011.49,1779332950.271472,1779332951.282963
sess-0048-a42ca94a,react,SUCCESS,2,500,6.0,6.0,2719.03,1779332948.780777,1779332951.500347
sess-0040-9a02e975,plan_and_solve,CASCADE_FAILED,5,500,3.0,0.0,4147.01,1779332947.405740,1779332951.554482
sess-0054-a98e97bb,react,SUCCESS,2,500,2.0,2.0,2391.55,1779332949.340369,1779332951.732491
sess-0041-bd516034,plan_and_solve,SUCCESS,3,500,11.0,11.0,4558.36,1779332947.408035,1779332951.966391
sess-0036-0b818dca,react,SUCCESS,5,500,5.0,5.0,5212.20,1779332946.827342,1779332952.039537
sess-0038-6b2ab350,plan_and_solve,SUCCESS,4,500,8.0,8.0,5130.22,1779332947.073301,1779332952.204136
sess-0058-e28f9903,react,CASCADE_FAILED,3,500,1.0,0.0,1782.71,1779332951.282963,1779332953.066242
sess-0042-3ded7654,react,SUCCESS,4,500,12.0,12.0,5587.71,1779332947.482681,1779332953.070394
sess-0060-f0c54d91,react,SUCCESS,2,500,2.0,2.0,1725.18,1779332951.555034,1779332953.280211
sess-0049-a1189300,react,SUCCESS,4,500,8.0,8.0,4497.80,1779332948.843859,1779332953.342322
sess-0061-6321501f,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1984.18,1779332951.732491,1779332953.716669
sess-0050-2a8261fd,react,SUCCESS,4,500,12.0,12.0,5251.44,1779332948.960548,1779332954.213023
sess-0069-9d136f83,react,SUCCESS,1,500,1.0,1.0,718.78,1779332953.716669,1779332954.435444
sess-0030-3e9f13ef,plan_and_solve,SUCCESS,7,500,19.0,19.0,9394.69,1779332945.081541,1779332954.477924
